model,pass@1,number_func_generated,avg_generation_time (s),avg_tokens,avg_execution_time (s),avg_cc_generation,avg_cog_generation
deepseek-coder-v2,0.7134146341463414,117,1.251675340548778,407.0487804878049,1.3016631428109444,3.52991452991453,3.0854700854700856
deepseek-coder-v2,0.7134146341463414,117,1.3485996472682906,409.8231707317073,0.6100797573109767,3.7094017094017095,3.0683760683760686
deepseek-coder-v2,0.676829268292683,111,1.2330994284755992,404.2682926829268,0.6711502558597472,3.7567567567567566,3.2072072072072073
deepseek-coder-v2,0.6890243902439024,113,1.2678780967926757,406.6524390243902,0.5936036819024477,3.7787610619469025,3.2389380530973453
deepseek-coder-v2,0.6890243902439024,113,1.2773150060975629,408.3353658536585,1.039038956219512,3.7964601769911503,3.1769911504424777
deepseek-coder-v2,0.676829268292683,111,1.2886038510853435,414.2621951219512,0.9343769879024078,3.684684684684685,3.063063063063063
deepseek-coder-v2,0.6890243902439024,113,1.2798947416768987,411.6036585365854,0.9638547228231934,3.4424778761061945,2.938053097345133
deepseek-coder-v2,0.676829268292683,111,1.2598050471403395,410.2378048780488,0.9187420269818398,3.630630630630631,3.2072072072072073
deepseek-coder-v2,0.725609756097561,119,1.3027011096646564,411.2073170731707,1.2991366208293362,3.7563025210084033,3.2016806722689077
deepseek-coder-v2,0.6951219512195121,114,1.2588545614329765,410.8353658536585,0.9383977459388783,3.754385964912281,3.2017543859649122
deepseek-coder-v2,0.6951219512195121,114,1.2660522098660028,409.9268292682927,1.2917380357804598,3.8771929824561404,3.219298245614035
deepseek-coder-v2,0.6707317073170732,110,1.22131723558558,406.359756097561,1.2877887194146262,3.8545454545454545,2.9909090909090907
deepseek-coder-v2,0.7134146341463414,117,1.2234075394328945,407.8414634146341,0.9311678032499691,3.8290598290598292,3.2051282051282053
deepseek-coder-v2,0.6951219512195121,114,1.2269221842926727,406.5853658536585,1.2853062233840409,3.7982456140350878,3.289473684210526
deepseek-coder-v2,0.6951219512195121,114,1.2359999706769906,408.6585365853659,1.2932074486221699,3.763157894736842,3.210526315789474
deepseek-coder-v2,0.7073170731707317,116,1.22855698352438,408.6158536585366,1.3228117492195097,3.9482758620689653,3.4655172413793105
deepseek-coder-v2,0.6890243902439024,113,1.2703988404268451,412.2439024390244,0.5855188969206698,3.893805309734513,3.5398230088495577
deepseek-coder-v2,0.7012195121951219,115,1.2476848485548544,411.7378048780488,1.2886468293230038,3.9130434782608696,3.1565217391304348
deepseek-coder-v2,0.676829268292683,111,1.2631550797315823,411.530487804878,0.9311593093781506,3.6576576576576576,3.027027027027027
deepseek-coder-v2,0.6890243902439024,113,1.2409807942071116,407.0060975609756,1.2848923501157359,3.769911504424779,3.061946902654867
